new,old
PuFiRS25_00001,PuFiRS25_00059
PuFiRS25_00002,PuFiRS25_00011
PuFiRS25_00003,PuFiRS25_00043
PuFiRS25_00004,PuFiRS25_00002
PuFiRS25_00005,PuFiRS25_00073
PuFiRS25_00006,PuFiRS25_00067
PuFiRS25_00007,PuFiRS25_00016
PuFiRS25_00008,PuFiRS25_00027
PuFiRS25_00009,PuFiRS25_00041
PuFiRS25_00010,PuFiRS25_00033
PuFiRS25_00011,PuFiRS25_00046
PuFiRS25_00012,PuFiRS25_00048
PuFiRS25_00013,PuFiRS25_00068
PuFiRS25_00014,PuFiRS25_00020
PuFiRS25_00015,PuFiRS25_00060
PuFiRS25_00016,PuFiRS25_00056
PuFiRS25_00017,PuFiRS25_00063
PuFiRS25_00018,PuFiRS25_00071
PuFiRS25_00019,PuFiRS25_00052
PuFiRS25_00020,PuFiRS25_00057
PuFiRS25_00021,PuFiRS25_00050
PuFiRS25_00022,PuFiRS25_00092
PuFiRS25_00023,PuFiRS25_00080
PuFiRS25_00024,PuFiRS25_00064
PuFiRS25_00025,PuFiRS25_00034
PuFiRS25_00026,PuFiRS25_00009
PuFiRS25_00027,PuFiRS25_00038
PuFiRS25_00028,PuFiRS25_00072
PuFiRS25_00029,PuFiRS25_00031
PuFiRS25_00030,PuFiRS25_00044
PuFiRS25_00031,PuFiRS25_00062
PuFiRS25_00032,PuFiRS25_00042
PuFiRS25_00033,PuFiRS25_00040
PuFiRS25_00034,PuFiRS25_00109
PuFiRS25_00035,PuFiRS25_00047
PuFiRS25_00036,PuFiRS25_00078
PuFiRS25_00037,PuFiRS25_00013
PuFiRS25_00038,PuFiRS25_00037
PuFiRS25_00039,PuFiRS25_00024
PuFiRS25_00040,PuFiRS25_00019
PuFiRS25_00041,PuFiRS25_00066
PuFiRS25_00042,PuFiRS25_00069
PuFiRS25_00043,PuFiRS25_00053
PuFiRS25_00044,PuFiRS25_00008
PuFiRS25_00045,PuFiRS25_00035
PuFiRS25_00046,PuFiRS25_00074
PuFiRS25_00047,PuFiRS25_00003
PuFiRS25_00048,PuFiRS25_00017
PuFiRS25_00049,PuFiRS25_00039
PuFiRS25_00050,PuFiRS25_00051
PuFiRS25_00051,PuFiRS25_00023
PuFiRS25_00052,PuFiRS25_00079
PuFiRS25_00053,PuFiRS25_00025
PuFiRS25_00054,PuFiRS25_00006
PuFiRS25_00055,PuFiRS25_00007
PuFiRS25_00056,PuFiRS25_00061
PuFiRS25_00057,PuFiRS25_00049
PuFiRS25_00058,PuFiRS25_00088
PuFiRS25_00059,PuFiRS25_00010
PuFiRS25_00060,PuFiRS25_00089
PuFiRS25_00061,PuFiRS25_00022
PuFiRS25_00062,PuFiRS25_00075
PuFiRS25_00063,PuFiRS25_00045
PuFiRS25_00064,PuFiRS25_00021
PuFiRS25_00065,PuFiRS25_00001
PuFiRS25_00066,PuFiRS25_00098
PuFiRS25_00067,PuFiRS25_00058
PuFiRS25_00068,PuFiRS25_00090
PuFiRS25_00069,PuFiRS25_00054
PuFiRS25_00070,PuFiRS25_00114
PuFiRS25_00071,PuFiRS25_00026
PuFiRS25_00072,PuFiRS25_00077
PuFiRS25_00073,PuFiRS25_00065
PuFiRS25_00074,PuFiRS25_00030
PuFiRS25_00075,PuFiRS25_00028
PuFiRS25_00076,PuFiRS25_00082
PuFiRS25_00077,PuFiRS25_00100
PuFiRS25_00078,PuFiRS25_00005
PuFiRS25_00079,PuFiRS25_00055
PuFiRS25_00080,PuFiRS25_00076
PuFiRS25_00081,PuFiRS25_00012
PuFiRS25_00082,PuFiRS25_00070
PuFiRS25_00083,PuFiRS25_00014
PuFiRS25_00084,PuFiRS25_00018
PuFiRS25_00085,PuFiRS25_00029
PuFiRS25_00086,PuFiRS25_00032
PuFiRS25_00087,PuFiRS25_00036
PuFiRS25_00088,PuFiRS25_00004
PuFiRS25_00089,PuFiRS25_00015
PuFiRS25_00090,PuFiRS25_00087
