case_id,source
PuFiRS25_00001,real
PuFiRS25_00002,real
PuFiRS25_00003,real
PuFiRS25_00006,real
PuFiRS25_00007,real
PuFiRS25_00008,real
PuFiRS25_00009,real
PuFiRS25_00010,real
PuFiRS25_00011,real
PuFiRS25_00013,real
PuFiRS25_00016,real
PuFiRS25_00017,real
PuFiRS25_00019,real
PuFiRS25_00020,real
PuFiRS25_00021,real
PuFiRS25_00022,real
PuFiRS25_00023,real
PuFiRS25_00024,real
PuFiRS25_00025,real
PuFiRS25_00026,real
PuFiRS25_00027,real
PuFiRS25_00031,real
PuFiRS25_00033,real
PuFiRS25_00034,real
PuFiRS25_00035,real
PuFiRS25_00037,real
PuFiRS25_00038,real
PuFiRS25_00039,real
PuFiRS25_00040,real
PuFiRS25_00041,real
PuFiRS25_00042,real
PuFiRS25_00043,real
PuFiRS25_00044,real
PuFiRS25_00045,real
PuFiRS25_00046,real
PuFiRS25_00047,real
PuFiRS25_00048,real
PuFiRS25_00049,real
PuFiRS25_00050,real
PuFiRS25_00051,real
PuFiRS25_00052,real
PuFiRS25_00053,real
PuFiRS25_00054,real
PuFiRS25_00056,real
PuFiRS25_00057,real
PuFiRS25_00058,real
PuFiRS25_00059,real
PuFiRS25_00060,real
PuFiRS25_00061,real
PuFiRS25_00062,real
PuFiRS25_00063,real
PuFiRS25_00064,real
PuFiRS25_00066,real
PuFiRS25_00067,real
PuFiRS25_00068,real
PuFiRS25_00069,real
PuFiRS25_00071,real
PuFiRS25_00073,real
PuFiRS25_00074,real
PuFiRS25_00075,real
PuFiRS25_00077,real
PuFiRS25_00079,real
PuFiRS25_00080,real
PuFiRS25_00081,real
PuFiRS25_00083,real
PuFiRS25_00084,real
PuFiRS25_00085,real
PuFiRS25_00086,real
PuFiRS25_00088,real
PuFiRS25_00089,real
PuFiRS25_00090,real
PuFiRS25_00091,real
PuFiRS25_00092,real
PuFiRS25_00093,real
PuFiRS25_00094,real
PuFiRS25_00096,real
PuFiRS25_00097,real
PuFiRS25_00098,real
PuFiRS25_00099,real
PuFiRS25_00100,real
PuFiRS25_00101,real
PuFiRS25_00102,real
PuFiRS25_00104,real
PuFiRS25_00105,real
PuFiRS25_00106,real
PuFiRS25_00108,real
PuFiRS25_00109,real
PuFiRS25_00110,real
PuFiRS25_00111,real
PuFiRS25_00113,real
PuFiRS25_00114,real
PuFiRS25_00115,real
PuFiRS25_00116,real
PuFiRS25_00119,real
PuFiRS25_00120,real
synthetic_0000,synthetic
synthetic_0001,synthetic
synthetic_0002,synthetic
synthetic_0003,synthetic
synthetic_0004,synthetic
synthetic_0005,synthetic
synthetic_0006,synthetic
synthetic_0007,synthetic
synthetic_0008,synthetic
synthetic_0009,synthetic
synthetic_0010,synthetic
synthetic_0011,synthetic
synthetic_0012,synthetic
synthetic_0013,synthetic
synthetic_0014,synthetic
synthetic_0015,synthetic
synthetic_0016,synthetic
synthetic_0017,synthetic
synthetic_0018,synthetic
synthetic_0019,synthetic
synthetic_0020,synthetic
synthetic_0021,synthetic
synthetic_0022,synthetic
synthetic_0023,synthetic
synthetic_0024,synthetic
synthetic_0025,synthetic
synthetic_0026,synthetic
synthetic_0027,synthetic
synthetic_0028,synthetic
synthetic_0029,synthetic
synthetic_0030,synthetic
synthetic_0031,synthetic
synthetic_0032,synthetic
synthetic_0033,synthetic
synthetic_0034,synthetic
